survey_id,employee_id,survey_date,work_life_balance_score,manager_satisfaction_score,environment_satisfaction
80,18,2024-06-08,4.0,1.0,2.0
81,18,2025-06-21,,1.0,4.0
82,19,2022-05-28,1.0,1.0,2.0
83,19,2023-06-06,3.0,1.0,5.0
84,19,2024-07-06,1.0,1.0,2.0
85,19,2025-06-16,3.0,,2.0
86,20,2021-05-28,3.0,1.0,2.0
87,20,2022-05-07,,1.0,3.0
88,20,2023-06-07,4.0,1.0,3.0
89,20,2024-06-19,,1.0,2.0
90,20,2025-05-27,4.0,1.0,4.0
91,21,2023-07-11,3.0,,3.0
92,21,2024-06-11,3.0,3.0,3.0
93,21,2025-05-21,3.0,4.0,3.0
94,22,2024-06-27,1.0,,3.0
95,22,2025-07-10,4.0,3.0,2.0
96,23,2023-04-25,4.0,4.0,2.0
97,23,2024-07-09,4.0,3.0,
98,24,2019-05-21,3.0,2.0,3.0
99,24,2020-06-29,2.0,2.0,3.0
100,24,2021-07-02,1.0,4.0,1.0
101,24,2022-05-13,1.0,,2.0
102,24,2023-05-30,1.0,3.0,2.0
103,24,2024-04-26,2.0,3.0,3.0
104,24,2025-05-23,4.0,3.0,3.0
105,25,2022-05-25,4.0,4.0,1.0
106,25,2023-06-30,3.0,3.0,3.0
107,25,2024-06-08,1.0,4.0,1.0
108,25,2025-05-31,1.0,5.0,2.0
109,26,2020-06-05,1.0,1.0,4.0
110,26,2021-05-12,,2.0,3.0
111,26,2022-05-23,,,2.0
112,26,2023-06-18,4.0,1.0,2.0
113,26,2024-07-02,2.0,,3.0
114,26,2025-05-11,2.0,1.0,2.0
115,27,2020-06-14,,3.0,3.0
116,27,2021-05-14,2.0,3.0,1.0
117,27,2022-06-29,4.0,2.0,4.0
118,27,2023-05-07,3.0,2.0,3.0
119,27,2024-04-28,3.0,3.0,4.0
120,27,2025-06-10,5.0,3.0,3.0
121,28,2019-06-21,3.0,3.0,4.0
122,28,2020-06-11,2.0,4.0,4.0
123,28,2021-05-12,5.0,5.0,4.0
124,28,2022-06-05,4.0,5.0,4.0
125,28,2023-06-10,2.0,4.0,2.0
126,28,2024-06-29,2.0,5.0,3.0
127,28,2025-05-15,2.0,4.0,3.0
128,29,2023-05-05,3.0,,2.0
129,29,2024-07-02,,5.0,
130,29,2025-05-15,4.0,5.0,4.0
131,30,2021-04-28,3.0,1.0,4.0
132,30,2022-07-10,3.0,1.0,
133,30,2023-06-01,2.0,1.0,2.0
134,30,2024-06-05,1.0,1.0,2.0
135,30,2025-05-10,1.0,,1.0
136,31,2023-05-05,3.0,1.0,2.0
137,31,2024-06-11,1.0,1.0,1.0
138,31,2025-05-26,1.0,,1.0
139,32,2020-07-05,5.0,2.0,5.0
140,32,2021-06-09,3.0,2.0,4.0
141,32,2022-06-11,3.0,2.0,5.0
142,32,2023-04-24,2.0,1.0,4.0
143,32,2024-04-30,1.0,1.0,3.0
144,32,2025-06-16,1.0,1.0,2.0
145,33,2024-05-13,,1.0,2.0
146,33,2025-04-23,1.0,1.0,4.0
147,34,2024-05-03,3.0,1.0,1.0
148,34,2025-06-25,4.0,1.0,1.0
149,35,2024-06-23,2.0,2.0,3.0
150,35,2025-07-04,2.0,3.0,1.0
151,36,2022-06-10,2.0,3.0,2.0
152,36,2023-07-11,2.0,2.0,3.0
153,36,2024-05-20,2.0,4.0,4.0
154,36,2025-04-30,4.0,3.0,4.0
155,37,2019-06-19,2.0,4.0,2.0
156,37,2020-06-25,3.0,5.0,3.0
157,37,2021-05-15,3.0,,3.0
158,37,2022-04-26,3.0,,2.0
159,37,2023-05-22,,,3.0
160,37,2024-05-08,1.0,4.0,2.0
161,37,2025-06-17,1.0,,
162,38,2022-06-08,,2.0,3.0
163,38,2023-06-20,3.0,1.0,4.0
164,38,2024-07-06,3.0,,3.0
165,38,2025-06-02,4.0,,3.0
166,39,2024-05-18,3.0,,4.0
167,39,2025-06-28,2.0,2.0,3.0
168,40,2020-06-02,4.0,1.0,
169,40,2021-07-11,3.0,2.0,3.0
170,40,2022-05-17,5.0,3.0,5.0
171,40,2023-06-25,3.0,2.0,3.0
172,40,2024-06-20,3.0,1.0,3.0
173,40,2025-06-02,2.0,2.0,4.0
174,41,2023-06-11,1.0,3.0,4.0
175,41,2024-04-29,2.0,5.0,4.0
176,41,2025-05-23,1.0,,1.0
177,42,2020-05-09,,5.0,3.0
178,42,2021-05-22,4.0,4.0,4.0
179,42,2022-07-01,4.0,5.0,3.0
180,42,2023-05-23,5.0,4.0,2.0
181,42,2024-06-12,4.0,4.0,3.0
182,42,2025-07-09,3.0,4.0,4.0
183,43,2022-06-24,4.0,2.0,3.0
184,43,2023-07-08,4.0,3.0,4.0
185,43,2024-06-04,4.0,3.0,3.0
186,44,2020-06-09,2.0,1.0,3.0
187,44,2021-05-04,2.0,,4.0
188,44,2022-05-11,2.0,2.0,4.0
189,44,2023-05-11,2.0,3.0,3.0
190,44,2024-06-11,1.0,2.0,2.0
191,44,2025-05-02,1.0,2.0,1.0
192,45,2019-05-17,4.0,5.0,
193,45,2020-04-25,2.0,5.0,2.0
194,45,2021-06-10,3.0,4.0,3.0
195,45,2022-04-28,4.0,,2.0
196,45,2023-06-20,,5.0,2.0
197,45,2024-04-25,2.0,5.0,2.0
198,45,2025-07-04,,,5.0
199,46,2022-06-19,3.0,5.0,2.0
200,46,2023-06-28,2.0,5.0,2.0
201,46,2024-04-22,1.0,,4.0
202,46,2025-07-03,1.0,,1.0
203,47,2022-05-11,3.0,1.0,5.0
204,47,2023-06-19,4.0,1.0,4.0
205,47,2024-05-21,3.0,1.0,3.0
206,48,2024-05-03,5.0,3.0,2.0
207,48,2025-06-03,4.0,,3.0
208,49,2023-05-16,2.0,2.0,3.0
209,49,2024-04-27,3.0,1.0,3.0
210,49,2025-05-29,4.0,2.0,3.0
211,50,2023-04-24,4.0,4.0,4.0
212,50,2024-05-08,0.0,3.0,3.0
213,50,2025-06-17,,5.0,3.0
214,51,2023-06-13,2.0,1.0,3.0
215,51,2024-06-03,1.0,1.0,3.0
216,52,2021-05-28,3.0,1.0,4.0
217,52,2022-05-14,4.0,2.0,3.0
218,52,2023-06-05,3.0,1.0,3.0
219,52,2024-05-07,2.0,3.0,2.0
220,52,2025-05-28,3.0,1.0,3.0
221,53,2020-05-14,4.0,2.0,3.0
222,53,2021-05-17,2.0,3.0,3.0
223,53,2022-06-25,,3.0,3.0
224,53,2023-05-07,2.0,,3.0
225,53,2024-06-05,,3.0,2.0
226,53,2025-05-13,,2.0,2.0
227,54,2020-07-04,2.0,2.0,3.0
228,54,2021-06-03,3.0,2.0,1.0
229,54,2022-05-21,3.0,3.0,5.0
230,54,2023-06-05,2.0,2.0,
231,54,2024-05-02,1.0,2.0,2.0
232,54,2025-06-20,1.0,1.0,3.0
233,55,2023-05-05,3.0,5.0,3.0
234,55,2024-05-29,3.0,4.0,4.0
235,55,2025-06-01,3.0,,3.0
236,56,2020-06-02,2.0,3.0,3.0
237,56,2021-05-26,3.0,5.0,2.0
238,56,2022-05-10,3.0,4.0,
239,56,2023-05-30,3.0,,4.0
240,56,2024-07-06,3.0,,3.0
241,56,2025-05-11,3.0,5.0,3.0
242,57,2020-07-04,4.0,3.0,5.0
243,57,2021-06-25,3.0,,3.0
244,57,2022-06-14,2.0,2.0,3.0
245,57,2023-06-05,4.0,,4.0
246,57,2024-05-07,5.0,,5.0
247,57,2025-06-13,3.0,2.0,3.0
248,58,2023-07-01,4.0,2.0,4.0
249,58,2024-06-19,4.0,3.0,3.0
250,58,2025-06-08,2.0,3.0,4.0
251,59,2023-04-22,2.0,3.0,3.0
252,59,2024-05-07,,3.0,3.0
253,59,2025-05-24,2.0,4.0,5.0
254,60,2019-04-29,,2.0,2.0
255,60,2020-04-28,5.0,3.0,2.0
256,60,2021-06-27,3.0,4.0,3.0
257,60,2022-05-16,3.0,3.0,3.0
258,60,2023-05-13,4.0,3.0,2.0
259,60,2024-06-12,4.0,3.0,3.0
260,60,2025-06-29,4.0,3.0,2.0
261,61,2022-04-26,3.0,3.0,1.0
262,61,2023-05-30,,3.0,
263,61,2024-06-01,2.0,,3.0
264,61,2025-05-16,1.0,1.0,2.0
265,62,2021-05-29,3.0,5.0,
266,62,2022-04-25,4.0,5.0,3.0
267,62,2023-06-19,3.0,4.0,2.0
268,62,2024-06-23,,5.0,2.0
269,62,2025-06-16,3.0,5.0,3.0
270,63,2021-04-29,5.0,2.0,4.0
271,63,2022-04-24,4.0,4.0,2.0
272,63,2023-06-29,5.0,3.0,3.0
273,63,2024-05-19,4.0,2.0,4.0
274,63,2025-05-11,,3.0,3.0
275,64,2019-06-27,,3.0,4.0
276,64,2020-06-07,3.0,,3.0
277,64,2021-05-03,1.0,4.0,4.0
278,64,2022-04-28,,4.0,3.0
279,64,2023-06-09,3.0,4.0,3.0
280,64,2024-06-28,2.0,5.0,3.0
281,64,2025-06-19,,3.0,3.0
282,65,2022-06-06,2.0,,3.0
283,65,2023-06-04,4.0,,2.0
284,65,2024-07-07,2.0,1.0,5.0
285,65,2025-06-22,1.0,1.0,2.0
286,66,2019-05-28,4.0,5.0,3.0
287,66,2020-05-09,3.0,4.0,4.0
288,66,2021-07-06,2.0,5.0,3.0
289,66,2022-06-27,2.0,5.0,3.0
290,66,2023-07-04,2.0,4.0,2.0
291,66,2024-06-21,2.0,3.0,2.0
292,66,2025-05-03,1.0,2.0,2.0
293,67,2022-06-19,4.0,2.0,3.0
294,67,2023-05-10,4.0,3.0,4.0
295,67,2024-06-18,3.0,2.0,4.0
296,67,2025-04-24,2.0,4.0,2.0
297,68,2022-07-05,4.0,1.0,3.0
298,68,2023-06-06,2.0,1.0,2.0
299,68,2024-04-29,1.0,,3.0
300,68,2025-06-23,3.0,1.0,2.0
301,69,2021-05-29,3.0,2.0,2.0
302,69,2022-07-10,3.0,,3.0
303,69,2023-07-11,2.0,2.0,2.0
304,69,2024-05-20,1.0,3.0,
305,70,2020-07-04,3.0,1.0,
306,70,2021-05-19,2.0,1.0,3.0
307,70,2022-07-09,3.0,1.0,2.0
308,70,2023-05-06,2.0,1.0,3.0
309,70,2024-06-26,3.0,1.0,3.0
310,70,2025-07-08,3.0,1.0,2.0
311,71,2021-05-11,5.0,5.0,4.0
312,71,2022-05-26,4.0,5.0,3.0
313,71,2023-04-22,3.0,5.0,3.0
314,71,2024-05-16,4.0,5.0,4.0
315,71,2025-05-09,5.0,,2.0
316,72,2019-06-12,2.0,2.0,3.0
317,72,2020-05-28,2.0,2.0,2.0
318,72,2021-05-28,3.0,1.0,4.0
319,72,2022-06-11,1.0,,3.0
320,72,2023-06-19,3.0,2.0,3.0
321,72,2024-06-09,2.0,2.0,3.0
322,72,2025-05-06,1.0,1.0,2.0
323,73,2022-05-03,4.0,5.0,4.0
324,73,2023-05-07,4.0,4.0,3.0
325,73,2024-05-31,4.0,5.0,4.0
326,73,2025-06-16,1.0,,
327,74,2024-06-01,4.0,3.0,3.0
328,74,2025-07-01,4.0,3.0,2.0
329,75,2020-07-06,3.0,2.0,4.0
330,75,2021-07-01,3.0,2.0,3.0
331,75,2022-07-02,3.0,,2.0
332,75,2023-06-20,2.0,2.0,4.0
333,75,2024-05-31,3.0,1.0,2.0
334,75,2025-06-28,5.0,1.0,1.0
335,76,2023-04-27,3.0,1.0,4.0
336,76,2024-04-24,,1.0,5.0
337,76,2025-06-15,2.0,2.0,3.0
338,77,2020-05-12,4.0,3.0,4.0
339,77,2021-04-29,3.0,3.0,3.0
340,77,2022-06-28,2.0,2.0,2.0
341,77,2023-07-04,5.0,3.0,2.0
342,77,2024-05-02,4.0,3.0,
343,77,2025-05-02,5.0,2.0,2.0
344,78,2022-06-25,2.0,3.0,1.0
345,78,2023-05-12,,1.0,3.0
346,78,2024-06-06,4.0,1.0,3.0
347,78,2025-05-24,4.0,1.0,3.0
348,79,2023-07-03,4.0,3.0,4.0
349,79,2024-06-11,1.0,5.0,5.0
350,79,2025-05-15,3.0,,5.0
351,80,2023-05-02,3.0,1.0,3.0
352,80,2024-05-19,4.0,1.0,4.0
353,80,2025-07-03,5.0,1.0,3.0
354,81,2019-07-10,,1.0,3.0
355,81,2020-06-24,4.0,1.0,2.0
356,81,2021-06-17,4.0,1.0,4.0
357,81,2022-07-08,2.0,1.0,4.0
358,81,2023-06-28,4.0,1.0,
359,81,2024-05-31,5.0,,2.0
360,81,2025-07-03,3.0,1.0,4.0
361,82,2024-04-29,4.0,4.0,2.0
362,82,2025-05-20,5.0,,3.0
363,83,2019-07-06,4.0,2.0,2.0
364,83,2020-06-29,5.0,1.0,2.0
365,83,2021-04-30,5.0,1.0,5.0
366,83,2022-06-05,2.0,,3.0
367,83,2023-06-12,2.0,1.0,4.0
368,83,2024-05-18,2.0,1.0,4.0
369,83,2025-06-03,5.0,1.0,5.0
370,84,2021-06-21,,4.0,3.0
371,84,2022-06-29,2.0,,3.0
372,84,2023-07-06,4.0,4.0,2.0
373,84,2024-05-25,3.0,3.0,3.0
374,85,2022-04-22,,4.0,3.0
375,85,2023-06-04,4.0,,3.0
376,85,2024-05-03,3.0,4.0,3.0
377,85,2025-05-15,3.0,,2.0
378,86,2019-07-01,3.0,2.0,3.0
379,86,2020-06-02,4.0,2.0,2.0
380,86,2021-05-07,3.0,2.0,4.0
381,86,2022-05-04,,1.0,3.0
382,86,2023-04-27,3.0,1.0,4.0
383,86,2024-06-03,2.0,2.0,4.0
384,86,2025-05-16,1.0,1.0,2.0
385,87,2023-06-17,3.0,3.0,3.0
386,87,2024-05-30,4.0,3.0,3.0
387,88,2021-05-17,3.0,1.0,4.0
388,88,2022-04-22,2.0,1.0,3.0
389,88,2023-04-30,1.0,,3.0
390,88,2024-06-22,1.0,1.0,1.0
391,88,2025-05-24,1.0,1.0,
392,89,2022-04-23,3.0,2.0,4.0
393,89,2023-06-30,5.0,3.0,2.0
394,89,2024-05-31,1.0,3.0,3.0
395,90,2022-06-27,3.0,1.0,3.0
396,90,2023-05-07,4.0,1.0,4.0
397,90,2024-06-10,4.0,1.0,5.0
398,90,2025-06-20,4.0,,2.0
399,91,2020-06-11,4.0,5.0,4.0
400,91,2021-05-02,3.0,5.0,3.0
401,91,2022-04-25,3.0,5.0,2.0
402,91,2023-05-06,4.0,4.0,
403,91,2024-07-02,4.0,5.0,3.0
404,92,2023-04-28,2.0,4.0,2.0
405,92,2024-06-20,4.0,5.0,4.0
406,92,2025-05-19,1.0,,2.0
407,93,2020-07-08,1.0,3.0,1.0
408,93,2021-06-15,3.0,3.0,2.0
409,93,2022-07-04,2.0,3.0,3.0
410,93,2023-06-28,4.0,3.0,3.0
411,93,2024-05-14,3.0,,3.0
412,93,2025-06-14,3.0,3.0,2.0
413,94,2023-06-07,2.0,4.0,4.0
414,94,2024-05-24,2.0,3.0,3.0
415,94,2025-07-07,3.0,4.0,5.0
416,95,2021-05-30,4.0,2.0,4.0
417,95,2022-06-27,,3.0,5.0
418,95,2023-07-06,4.0,3.0,3.0
419,95,2024-06-20,5.0,4.0,4.0
420,95,2025-05-04,2.0,5.0,3.0
421,96,2020-06-24,3.0,4.0,4.0
422,96,2021-06-29,3.0,,1.0
423,96,2022-07-04,3.0,3.0,2.0
424,96,2023-07-02,3.0,5.0,5.0
425,96,2024-07-02,4.0,5.0,4.0
426,96,2025-06-25,3.0,5.0,3.0
427,97,2021-05-25,3.0,3.0,2.0
428,97,2022-05-04,4.0,4.0,
429,97,2023-06-27,,3.0,2.0
430,97,2024-05-07,2.0,3.0,2.0
431,97,2025-06-15,2.0,3.0,2.0
432,98,2019-07-01,,,4.0
433,98,2020-06-22,4.0,5.0,
434,98,2021-06-09,,3.0,
435,98,2022-06-27,3.0,5.0,2.0
436,98,2023-06-18,3.0,4.0,4.0
437,98,2024-06-03,4.0,4.0,2.0
438,98,2025-06-08,4.0,4.0,3.0
439,99,2021-06-12,5.0,4.0,3.0
440,99,2022-05-23,,2.0,
441,99,2023-06-14,3.0,3.0,
442,99,2024-06-24,,5.0,3.0
443,99,2025-05-13,3.0,4.0,3.0
444,100,2023-05-14,2.0,4.0,4.0
445,100,2024-07-04,,3.0,3.0
446,100,2025-06-14,3.0,5.0,1.0
447,101,2020-05-26,5.0,4.0,3.0
448,101,2021-07-06,5.0,3.0,3.0
449,101,2022-07-09,3.0,4.0,2.0
450,101,2023-05-18,3.0,,3.0
451,101,2024-07-03,,2.0,3.0
452,101,2025-07-05,1.0,2.0,2.0
453,102,2022-05-27,1.0,3.0,2.0
454,102,2023-06-09,2.0,3.0,3.0
455,102,2024-06-06,1.0,1.0,2.0
456,102,2025-05-13,1.0,3.0,2.0
457,103,2019-05-17,3.0,4.0,2.0
458,103,2020-05-12,,4.0,3.0
459,103,2021-04-26,4.0,3.0,4.0
460,103,2022-05-19,3.0,,3.0
461,103,2023-05-25,2.0,2.0,3.0
462,103,2024-06-17,3.0,3.0,4.0
463,103,2025-05-18,3.0,3.0,2.0
464,104,2024-06-26,4.0,3.0,4.0
465,104,2025-05-27,4.0,3.0,3.0
466,105,2020-05-03,2.0,3.0,2.0
467,105,2021-05-27,3.0,3.0,4.0
468,105,2022-06-18,3.0,,1.0
469,105,2023-06-16,3.0,,2.0
470,105,2024-07-07,2.0,2.0,5.0
471,105,2025-06-15,2.0,3.0,3.0
472,106,2020-06-15,4.0,1.0,4.0
473,106,2021-04-26,4.0,1.0,3.0
474,106,2022-07-07,4.0,,4.0
475,106,2023-06-07,,2.0,5.0
476,106,2024-06-11,3.0,2.0,4.0
477,106,2025-05-31,,1.0,4.0
478,107,2022-06-14,5.0,3.0,3.0
479,107,2023-04-25,3.0,2.0,4.0
480,107,2024-04-23,2.0,4.0,
481,107,2025-05-29,1.0,3.0,4.0
482,108,2022-06-26,,5.0,2.0
483,108,2023-04-29,2.0,4.0,2.0
484,108,2024-07-08,3.0,4.0,1.0
485,108,2025-06-08,,3.0,4.0
486,109,2019-05-14,2.0,2.0,3.0
487,109,2020-05-02,3.0,2.0,
488,109,2021-05-17,2.0,2.0,4.0
489,109,2022-05-26,2.0,3.0,3.0
490,109,2023-06-03,3.0,2.0,3.0
491,109,2024-04-29,4.0,1.0,4.0
492,109,2025-05-05,5.0,3.0,3.0
493,110,2022-07-02,4.0,2.0,2.0
494,110,2023-04-23,2.0,4.0,1.0
495,110,2024-06-08,4.0,2.0,4.0
496,111,2022-06-02,2.0,,3.0
497,111,2023-04-23,3.0,5.0,3.0
498,111,2024-05-04,1.0,4.0,2.0
499,111,2025-05-17,1.0,4.0,1.0
500,112,2022-04-28,2.0,,3.0
501,112,2023-06-06,4.0,3.0,4.0
502,112,2024-06-13,,4.0,3.0
503,112,2025-06-09,3.0,4.0,2.0
504,113,2023-05-07,3.0,,2.0
505,113,2024-05-17,4.0,3.0,2.0
506,113,2025-06-04,3.0,3.0,5.0
507,114,2023-05-20,3.0,,4.0
508,114,2024-06-08,2.0,3.0,3.0
509,114,2025-05-25,3.0,2.0,2.0
510,115,2019-05-09,3.0,1.0,
511,115,2020-07-07,3.0,2.0,3.0
512,115,2021-06-08,3.0,2.0,2.0
513,115,2022-07-02,2.0,1.0,3.0
514,115,2023-06-30,4.0,1.0,3.0
515,115,2024-05-24,1.0,1.0,2.0
516,115,2025-05-06,2.0,1.0,1.0
517,116,2022-05-31,1.0,2.0,3.0
518,116,2023-06-24,3.0,3.0,2.0
519,116,2024-06-10,2.0,,2.0
520,116,2025-05-25,2.0,2.0,3.0
521,117,2019-05-28,4.0,2.0,3.0
522,117,2020-05-22,3.0,,4.0
523,117,2021-07-01,3.0,3.0,4.0
524,117,2022-06-07,5.0,,4.0
525,117,2023-05-20,3.0,3.0,3.0
526,117,2024-06-04,4.0,5.0,
527,117,2025-06-06,4.0,,4.0
528,118,2023-05-18,4.0,2.0,3.0
529,118,2024-06-09,1.0,2.0,3.0
530,118,2025-07-05,4.0,1.0,3.0
531,119,2021-04-23,1.0,,2.0
532,119,2022-04-29,3.0,,
533,119,2023-04-26,4.0,1.0,3.0
534,119,2024-05-08,3.0,1.0,2.0
535,120,2021-06-10,2.0,4.0,4.0
536,120,2022-05-01,3.0,5.0,3.0
537,120,2023-06-02,4.0,4.0,3.0
538,120,2024-05-21,4.0,3.0,4.0
539,120,2025-05-12,3.0,3.0,4.0
540,121,2019-05-24,,1.0,2.0
541,121,2020-06-14,3.0,,
542,121,2021-07-08,2.0,1.0,3.0
543,121,2022-05-23,3.0,,1.0
544,121,2023-06-21,3.0,1.0,3.0
545,121,2024-07-07,2.0,1.0,3.0
546,122,2023-05-18,3.0,2.0,3.0
547,122,2024-05-19,2.0,1.0,
548,122,2025-04-28,3.0,1.0,4.0
549,123,2023-07-08,3.0,5.0,3.0
550,123,2024-07-03,,5.0,2.0
551,123,2025-04-22,2.0,1.0,1.0
552,124,2021-05-01,4.0,2.0,2.0
553,124,2022-06-15,5.0,,5.0
554,124,2023-05-05,2.0,4.0,3.0
555,124,2024-06-04,3.0,2.0,1.0
556,124,2025-06-09,1.0,3.0,4.0
557,125,2021-05-28,3.0,4.0,4.0
558,125,2022-07-07,2.0,3.0,3.0
559,125,2023-05-12,3.0,2.0,3.0
560,125,2024-06-11,3.0,4.0,4.0
561,125,2025-07-04,2.0,,2.0
562,126,2023-06-19,2.0,2.0,4.0
563,126,2024-06-28,1.0,,4.0
564,126,2025-04-30,1.0,,2.0
565,127,2023-05-05,4.0,5.0,2.0
566,127,2024-04-25,2.0,3.0,2.0
567,127,2025-04-26,3.0,4.0,2.0
568,128,2020-06-15,3.0,3.0,1.0
569,128,2021-04-25,3.0,3.0,2.0
570,128,2022-05-31,2.0,1.0,2.0
571,128,2023-06-04,4.0,3.0,1.0
572,128,2024-07-08,3.0,,2.0
573,128,2025-04-27,2.0,2.0,4.0
574,129,2022-07-02,3.0,4.0,3.0
575,129,2023-04-22,3.0,2.0,5.0
576,129,2024-07-10,2.0,2.0,5.0
577,129,2025-04-30,4.0,4.0,3.0
578,130,2024-05-26,3.0,5.0,2.0
579,130,2025-06-18,,5.0,5.0
580,131,2021-06-05,1.0,1.0,4.0
581,131,2022-05-06,4.0,1.0,2.0
582,131,2023-05-26,,,4.0
583,131,2024-06-25,2.0,1.0,3.0
584,131,2025-05-24,2.0,1.0,4.0
585,132,2019-06-23,3.0,3.0,4.0
586,132,2020-06-08,3.0,2.0,3.0
587,132,2021-06-16,3.0,3.0,
588,132,2022-05-02,4.0,4.0,3.0
589,132,2023-06-28,3.0,2.0,3.0
590,132,2024-05-01,2.0,3.0,3.0
591,132,2025-04-26,2.0,2.0,2.0
592,133,2020-05-05,4.0,5.0,3.0
593,133,2021-06-23,3.0,5.0,4.0
594,133,2022-06-18,3.0,3.0,3.0
595,133,2023-07-04,2.0,2.0,4.0
596,133,2024-06-17,4.0,3.0,
597,133,2025-05-10,0.0,,3.0
598,134,2022-06-20,2.0,1.0,4.0
599,134,2023-05-14,3.0,1.0,2.0
600,134,2024-06-13,2.0,1.0,2.0
601,134,2025-05-29,2.0,1.0,1.0
602,135,2022-05-26,3.0,4.0,1.0
603,135,2023-04-23,2.0,3.0,1.0
604,135,2024-05-12,1.0,3.0,2.0
605,135,2025-05-07,4.0,4.0,2.0
606,136,2022-04-27,4.0,1.0,2.0
607,136,2023-05-15,4.0,1.0,3.0
608,136,2024-06-03,3.0,,4.0
609,136,2025-06-10,3.0,,5.0
610,137,2021-04-22,3.0,3.0,2.0
611,137,2022-06-12,2.0,2.0,2.0
612,137,2023-05-25,3.0,,2.0
613,137,2024-05-27,3.0,3.0,3.0
614,137,2025-05-14,2.0,3.0,3.0
615,138,2019-06-21,4.0,1.0,3.0
616,138,2020-06-12,3.0,1.0,3.0
617,138,2021-06-25,3.0,1.0,3.0
618,138,2022-05-26,4.0,1.0,2.0
619,138,2023-07-09,4.0,1.0,4.0
620,138,2024-04-28,1.0,,5.0
621,138,2025-06-09,4.0,2.0,4.0
622,139,2020-04-24,3.0,3.0,3.0
623,139,2021-07-09,4.0,,3.0
624,139,2022-05-07,5.0,1.0,3.0
625,140,2022-04-28,,1.0,2.0
626,140,2023-05-07,,3.0,2.0
627,140,2024-06-16,4.0,4.0,4.0
628,140,2025-05-30,3.0,1.0,1.0
